Variable01,Variable02,Variable03,Variable04,Variable05,Variable06,Variable07,Variable08,Variable09,Variable10,Variable11,Variable12,Variable13,Variable14,Variable15,Variable16,Variable17,Variable18,Variable19,Variable20,Variable21,Variable22,Variable23,Variable24,Variable25,Variable26,Variable27,Variable28,Amount,Class
-0.36,1.63,-0.45,2.22,1.08,-0.65,1.13,-3.08,0.77,1.16,0.47,-2.45,1.46,1.58,0.64,-1.84,0.90,0.30,2.24,-0.22,1.75,0.38,0.25,-0.01,-1.06,-0.36,-0.06,-0.09,5.65,0
0.92,-0.01,1.23,1.31,-1.10,-0.69,-0.54,0.09,0.61,-0.02,-0.40,-0.32,-1.24,0.19,1.44,0.68,-0.49,0.45,-0.84,-0.23,0.09,0.33,0.04,0.59,0.29,-0.45,0.07,0.05,8.14,0
-0.78,0.31,0.64,3.23,1.30,-0.54,0.22,0.02,-1.13,1.17,-1.55,-0.72,0.18,0.43,0.95,-0.02,-0.20,0.23,1.12,0.46,0.06,0.00,0.13,-0.56,-0.20,0.26,0.25,0.19,40.69,0
-0.82,-0.02,-0.25,-1.34,-0.58,-0.68,1.22,0.01,-1.65,-0.43,-1.47,0.51,1.92,0.17,-0.26,-1.82,-0.22,1.53,-1.17,-0.12,0.22,0.74,0.22,-0.14,-0.03,-0.12,0.02,0.10,252.00,0
0.80,-1.33,0.10,0.10,-0.90,0.58,-0.36,0.20,-0.69,0.78,1.04,0.52,-0.96,0.34,-0.40,-1.95,0.61,0.34,-1.19,-0.26,-0.27,-0.81,-0.09,-0.32,0.17,0.33,-0.02,0.02,232.78,0
-0.25,0.86,0.03,-0.55,1.18,-0.73,0.82,-0.06,-0.17,-1.12,-0.83,-0.74,-1.09,-0.66,-0.12,0.27,0.51,0.00,-0.08,-0.13,-0.30,-0.80,0.04,0.51,-0.55,0.11,0.11,0.21,0.89,0
1.98,-0.56,-1.36,-0.37,-0.54,-0.98,-0.01,-0.34,1.02,-0.38,-1.13,0.67,0.04,-0.02,-0.46,-0.66,0.06,-0.71,0.48,-0.14,0.06,0.42,0.05,0.14,0.02,1.04,-0.10,-0.08,30.06,0
0.25,0.54,1.23,1.30,-0.22,-0.21,0.53,-0.21,-0.28,0.42,1.45,1.04,0.04,-0.05,-0.40,-0.84,0.25,0.07,2.01,0.19,-0.01,0.46,0.19,0.64,-1.69,0.20,0.09,0.02,21.44,0
0.67,0.69,-2.66,0.18,0.67,-1.11,0.46,-3.09,-0.32,-0.75,-1.31,0.11,-0.99,1.78,-0.44,-0.96,0.01,-0.30,-0.16,0.61,-0.85,1.99,-0.09,0.09,-0.22,-0.09,0.24,0.45,135.70,0
-0.80,0.12,-0.51,0.33,1.80,4.17,1.09,0.76,-0.58,-0.26,-0.63,-0.16,-0.13,0.19,0.21,-0.46,-0.18,0.30,1.40,0.88,0.04,-0.18,0.37,0.87,0.23,-0.25,0.33,0.26,262.51,0
0.95,0.08,0.36,1.22,-0.12,0.14,0.00,0.14,0.03,0.03,0.93,1.07,-0.18,0.24,-0.86,-0.63,0.01,-0.51,-0.07,-0.11,-0.04,0.06,-0.08,0.02,0.58,-0.35,0.04,0.01,33.95,0
1.40,-0.95,-2.21,0.63,-0.07,-0.54,0.39,-0.18,0.67,-0.87,0.92,0.99,-0.22,-1.00,-0.57,0.21,0.84,0.69,0.36,0.44,-0.01,-0.46,-0.12,-0.49,-0.18,-0.13,-0.06,0.02,392.73,0
2.28,-0.42,-1.52,0.05,0.25,-0.67,0.19,-0.25,0.62,0.16,-1.73,-0.64,-0.67,0.50,0.85,0.35,-0.63,0.16,0.13,-0.10,0.20,0.35,-0.11,-0.79,0.15,0.70,-0.11,-0.08,49.76,0
2.01,-0.28,-1.94,0.30,0.30,-0.70,0.31,-0.10,0.37,-0.24,0.89,0.02,-1.43,-0.32,-0.33,0.48,0.47,0.42,0.26,-0.03,-0.14,-0.52,0.19,0.62,-0.17,0.46,-0.09,-0.03,88.65,0
1.14,0.01,0.64,1.67,-0.61,-0.26,-0.23,0.11,0.40,0.07,0.80,0.86,-0.96,0.20,-1.21,-0.20,-0.15,0.10,0.17,-0.16,-0.02,0.11,-0.09,0.47,0.70,-0.36,0.03,0.01,20.30,0
-0.77,0.00,0.32,-2.00,2.83,3.27,-0.51,0.94,1.97,-1.24,0.38,-2.02,1.49,1.13,-0.44,0.13,-0.14,0.42,-1.23,-0.04,0.16,0.59,-0.18,0.61,0.01,-0.30,0.15,0.14,25.49,0
1.27,-0.87,1.22,-0.61,-1.49,-0.42,-1.11,0.02,-0.46,0.49,0.31,-0.17,0.68,-0.44,1.07,1.24,0.35,-1.43,-0.27,0.13,0.50,1.07,-0.07,0.45,0.33,-0.04,0.06,0.03,46.02,0
-2.05,1.02,-1.42,-0.09,1.50,2.74,-0.95,2.23,-0.45,0.22,-0.55,0.13,0.26,0.75,1.45,0.35,-0.44,0.97,0.56,-0.25,0.18,0.62,0.31,0.84,-0.08,-0.23,-0.06,-0.22,24.44,0
1.72,-0.11,-1.83,0.48,0.46,-0.89,0.43,-0.22,-0.10,-0.30,1.46,1.28,0.89,-0.72,-0.74,0.32,0.37,0.07,0.16,0.18,-0.10,-0.32,0.13,0.87,-0.11,0.30,-0.08,-0.02,130.79,0
2.16,-0.08,-2.47,0.24,0.48,-0.82,0.48,-0.23,0.13,0.40,0.51,0.04,-1.76,1.06,-0.69,-0.47,-0.22,-0.15,0.33,-0.30,0.14,0.50,0.02,0.84,0.29,0.62,-0.15,-0.09,0.82,0
-0.26,-3.26,-2.26,1.19,-0.54,2.68,0.63,0.32,0.71,-0.48,0.59,0.88,-0.29,0.53,0.12,-0.25,0.09,-1.19,-0.77,1.95,0.27,-1.41,-0.47,-0.76,-0.94,-0.18,-0.19,0.11,1034.06,0
-1.24,1.47,0.91,-0.62,0.41,-0.41,0.96,-0.78,-0.38,-0.49,0.76,0.97,-0.23,0.38,-0.70,-0.52,-0.16,-0.01,1.13,-0.09,0.46,-0.79,-0.25,0.06,0.89,-0.36,0.19,0.09,13.34,0
1.85,-0.18,-0.46,0.95,0.12,0.49,-0.31,0.16,0.46,0.23,0.59,1.52,1.32,-0.02,-0.28,0.64,-1.06,0.26,-0.05,-0.07,-0.16,-0.53,0.32,0.20,-0.32,-1.12,0.04,-0.02,44.10,0
-0.43,-0.43,-0.85,-0.02,1.01,-0.90,0.84,-0.43,0.39,0.51,0.96,0.22,-1.19,0.67,0.03,-0.76,-0.39,0.45,0.71,-0.27,0.08,0.60,-0.14,0.62,-0.31,-0.70,0.01,-0.10,117.63,0
0.13,0.74,-1.97,-1.58,3.21,2.86,0.37,0.75,-0.13,-0.96,0.12,-0.13,-0.37,-0.87,0.18,0.22,0.35,-0.40,-0.40,0.05,-0.40,-1.02,0.13,0.59,-0.40,0.14,0.27,0.06,3.91,0
-1.19,0.49,1.19,0.54,0.71,-0.16,0.74,0.10,-0.60,0.18,0.67,0.08,-0.53,0.58,0.71,0.23,-0.70,0.43,1.17,0.14,-0.55,-1.68,-0.06,-0.62,0.24,-0.65,0.17,0.06,87.45,0
-0.92,1.39,0.23,-1.48,1.49,0.17,1.26,0.18,-0.53,-1.24,0.08,-0.27,-0.80,-0.69,-0.95,0.77,-0.26,0.49,0.03,0.04,-0.33,-1.31,-0.37,-0.39,0.59,0.23,0.05,0.10,3.59,0
1.69,-0.97,-0.67,-0.66,-0.87,-0.70,-0.62,0.01,1.49,-0.42,-1.08,-0.26,-0.97,0.25,1.54,0.43,-0.49,-0.05,0.29,-0.10,-0.15,-0.69,0.34,0.74,-0.75,0.31,-0.06,-0.04,68.97,0
-0.57,0.87,0.30,-1.30,0.43,-0.03,0.18,0.67,-0.02,-0.85,-1.54,-0.59,-0.39,0.40,0.71,0.62,-0.58,-0.26,-0.43,-0.16,-0.09,-0.38,-0.16,-1.27,-0.10,1.00,0.06,0.01,0.60,0
0.17,0.28,0.08,-2.39,0.31,-1.31,1.02,-0.68,-0.99,0.49,-0.63,-0.56,0.96,-0.45,-0.67,0.95,-0.30,-1.19,-0.31,0.17,0.46,1.79,-0.22,0.13,-0.73,-0.20,0.25,0.09,15.60,0
-1.80,0.89,-0.14,-2.18,-1.51,-0.44,-1.16,1.05,1.58,-1.87,-1.82,0.24,-0.59,0.65,1.37,0.37,-0.12,0.72,0.42,-0.45,0.33,0.33,0.03,0.54,-0.42,-0.39,-1.17,-0.16,1.58,0
2.20,-1.37,-1.29,-1.58,-0.74,-0.39,-0.89,-0.13,-1.35,1.44,0.82,0.08,0.33,-0.15,-1.49,-0.65,0.57,-0.16,0.29,-0.40,-0.36,-0.49,0.35,0.53,-0.25,-0.37,-0.01,-0.07,15.84,0
0.19,0.85,-0.07,-0.71,1.08,-0.36,1.42,-0.44,0.19,-0.53,-1.70,0.27,1.01,-0.26,-0.54,-0.34,-1.02,-0.42,0.44,-0.08,-0.20,-0.33,-0.16,-1.11,-0.14,-0.67,-0.27,-0.17,20.86,0
-0.89,0.83,-1.88,-1.82,2.16,2.98,0.22,1.25,0.19,0.26,-0.25,0.11,-0.40,0.28,0.06,-0.15,-0.42,-1.01,-0.30,0.20,-0.38,-0.83,0.17,0.59,-0.39,0.15,0.18,-0.08,14.78,0
1.84,-2.26,-0.59,-1.40,-1.00,1.99,-1.62,0.59,-0.86,1.20,0.88,0.62,2.14,-0.93,0.33,-0.37,0.47,-0.34,-0.87,0.20,0.20,0.53,0.08,-0.84,-0.74,-0.18,0.06,0.01,324.45,0
-1.36,1.86,-2.44,-0.22,2.25,4.29,-2.63,-4.23,-1.34,-1.96,-0.01,-0.03,-0.55,-0.04,1.30,0.98,1.51,1.17,0.93,1.57,-2.48,0.44,0.23,0.71,-0.25,0.39,-0.07,0.16,0.71,0
0.77,-0.76,0.75,1.50,-1.51,-0.36,-0.15,0.04,1.16,-0.37,-1.22,-0.12,-1.79,-0.03,-0.72,-0.46,0.35,-0.30,-0.02,0.12,0.01,-0.18,-0.21,0.77,0.61,-0.27,0.01,0.07,193.15,0
-4.78,3.17,-0.76,-2.67,-1.15,-0.55,-0.34,1.50,2.14,4.80,1.58,0.56,-0.82,-0.28,0.36,0.41,-0.43,-0.38,-1.08,1.68,-0.57,-0.36,0.18,-0.04,0.33,0.73,0.66,-0.08,1.68,0
2.18,0.47,-1.07,3.33,0.56,-0.03,0.33,0.01,-1.01,1.43,-0.26,-0.76,-2.92,1.00,-1.30,0.69,-0.65,0.29,-0.91,-0.42,0.22,0.70,-0.10,-0.40,0.38,0.27,-0.08,-0.08,6.22,0
-0.47,1.29,1.58,-0.01,0.06,-0.60,0.65,-0.02,-0.54,-0.40,0.26,0.86,1.33,-0.04,1.12,-0.26,-0.07,-1.09,-0.52,0.13,-0.17,-0.34,0.04,0.43,-0.26,0.06,0.26,0.13,4.90,0
-0.22,1.14,0.53,0.36,1.26,-0.77,1.12,-0.34,-0.53,-0.83,-0.59,-1.41,-0.50,-1.70,1.07,0.34,1.08,0.78,0.76,0.16,-0.13,-0.33,-0.44,-0.50,0.10,0.55,-0.09,-0.09,0.62,0
-1.12,0.42,1.34,0.23,0.09,-0.23,1.37,-0.03,-0.37,-0.68,-0.61,-0.72,-1.40,0.39,0.81,0.11,-0.45,-0.29,-1.62,-0.24,0.15,0.43,-0.17,0.05,0.24,-0.39,0.00,0.13,126.72,0
1.04,0.32,0.15,0.60,-0.18,-0.53,-0.04,-0.03,-0.19,-0.09,1.13,0.79,-0.06,-0.07,0.49,0.86,-0.31,0.33,0.18,-0.07,-0.23,-0.89,0.07,-0.05,0.21,0.10,-0.03,0.02,1.60,0
-0.37,0.96,1.37,-0.07,0.52,0.11,0.55,0.03,0.80,-0.60,0.06,-3.11,2.28,1.66,0.37,0.11,0.28,-0.23,-0.24,0.08,-0.35,-0.95,-0.08,-0.81,-0.17,0.13,0.22,0.11,3.60,0
2.09,-0.14,-0.14,0.60,-0.56,-0.78,-0.47,-0.17,2.69,-0.73,0.39,-1.46,1.83,1.65,0.39,0.13,0.12,0.15,-0.35,-0.21,-0.23,-0.28,0.43,-0.12,-0.33,-0.83,0.03,-0.03,13.52,0
-0.48,0.64,1.38,0.27,-0.06,0.00,0.36,0.09,0.15,-0.60,-0.75,0.10,-0.45,-0.30,-0.34,-0.69,0.35,-0.95,-0.03,-0.12,0.03,0.22,-0.17,0.13,0.06,0.37,-0.13,0.01,6.92,0
-0.49,1.37,-0.44,0.78,1.24,-0.38,0.78,-0.05,-0.85,-0.72,1.15,-0.30,-1.08,-1.82,0.24,0.39,1.62,1.14,0.55,-0.07,-0.18,-0.62,0.00,0.40,-0.81,-1.04,-0.18,0.30,9.55,0
0.24,-0.51,0.25,0.33,0.29,-0.16,-0.34,0.13,0.30,0.02,0.51,1.34,1.40,-0.22,-0.11,0.23,-0.60,0.91,0.74,0.35,0.44,1.56,0.28,-0.43,-1.34,0.62,0.09,0.07,63.00,0
-0.32,0.92,-0.93,-0.61,0.58,-1.76,1.04,0.01,-0.68,-0.51,-1.29,-0.95,-1.28,1.50,-0.16,-0.23,-0.14,-0.40,-0.31,-0.29,0.27,0.73,0.06,-0.07,-0.76,0.38,0.03,0.15,43.55,0
1.63,-0.58,-0.78,0.04,0.11,0.59,-0.57,0.17,1.12,-0.04,0.10,1.43,1.13,-0.07,-0.01,0.72,-1.00,0.56,0.61,0.04,-0.17,-0.48,0.23,-0.34,-0.27,-0.58,0.02,-0.04,83.44,0
1.93,0.05,-1.59,0.61,0.10,-1.31,0.33,-0.38,0.72,-0.49,-0.40,-0.04,-0.21,-0.63,0.98,0.19,0.41,0.57,-0.50,-0.10,0.26,0.71,-0.06,-0.02,0.23,-0.09,-0.01,-0.02,47.97,0
-1.28,0.05,2.71,1.14,0.58,2.69,-0.45,0.76,0.79,-0.05,1.06,0.75,-2.15,-0.52,-1.32,-2.01,1.71,-1.80,0.19,-0.39,-0.21,-0.09,-0.10,-1.11,-0.52,-0.42,-0.29,-0.07,10.71,0
-0.92,-0.36,0.02,-1.91,0.90,-0.45,0.38,-0.23,-1.16,0.65,0.43,-0.49,-0.25,-0.01,-0.87,0.71,0.06,-1.10,1.46,-0.28,0.03,0.35,0.30,0.30,-0.04,-0.24,-0.12,0.12,12.00,0
0.37,0.55,-1.90,-1.36,2.88,3.56,-1.11,-1.52,1.16,-1.13,0.74,-2.32,1.25,2.07,-0.69,0.10,0.39,-0.78,-0.75,0.40,-1.79,-0.87,0.27,0.52,0.45,0.21,-0.05,0.14,2.18,0
-0.92,0.49,0.30,0.66,1.92,5.05,-0.13,-0.23,0.27,1.17,-0.03,-0.40,0.01,-0.54,2.04,-0.93,0.09,0.57,2.27,-0.04,0.97,1.15,-0.12,0.66,-0.21,-0.08,-0.51,-0.22,116.82,0
-3.50,2.48,1.36,0.09,0.58,-0.21,2.50,-2.17,4.98,7.10,0.87,-0.70,-0.94,-3.73,0.57,-2.78,-0.52,-1.50,-0.17,2.22,-1.05,0.32,-0.27,0.66,0.21,-0.58,-0.55,-0.55,32.96,0
2.43,-1.06,-1.56,-1.71,-0.86,-0.94,-0.66,-0.40,-1.58,1.94,0.65,0.23,1.60,-0.14,-0.62,-0.31,-0.01,0.58,0.06,-0.42,0.13,0.88,0.00,-0.27,0.12,0.08,-0.01,-0.07,16.80,0
1.81,0.05,-1.49,1.34,0.17,-0.81,0.38,-0.24,0.12,0.32,-0.33,0.52,0.35,0.47,0.56,-0.17,-0.43,-0.18,-0.71,-0.11,0.28,0.82,0.03,1.13,0.28,-0.54,-0.01,-0.04,48.21,0
-0.05,1.11,-0.56,-1.34,1.16,-1.94,1.84,-0.94,0.17,0.27,-0.80,-0.74,-0.97,0.40,0.03,-0.74,-0.62,-0.45,-0.17,0.13,0.11,1.04,-0.32,-0.06,-0.41,0.05,0.16,-0.13,0.75,0
-0.95,0.46,1.25,1.48,1.88,5.52,-0.46,0.77,-0.81,1.17,-0.37,-0.65,0.11,-0.48,1.42,0.29,-0.44,0.54,1.49,0.13,-0.11,-0.13,-0.20,1.19,0.10,0.16,-0.35,-0.11,29.62,0
-0.65,1.08,1.64,0.18,0.01,-1.43,0.66,-0.14,-0.66,-0.85,-0.02,-0.17,-0.31,-0.33,0.75,0.24,0.16,-0.13,-0.14,0.02,-0.14,-0.58,0.05,0.72,-0.37,0.03,0.07,0.16,15.34,0
-0.40,0.98,1.23,-0.03,0.05,-0.66,0.47,0.15,-0.47,-0.30,1.49,-0.01,-1.29,0.00,0.32,0.70,-0.18,0.58,0.24,0.05,-0.18,-0.56,0.00,0.20,-0.22,0.07,0.25,0.07,1.66,0
-1.50,-0.88,1.08,-3.27,0.93,1.00,-0.27,0.65,-0.49,-0.46,0.19,-0.44,-1.24,0.09,-0.14,-1.62,-0.18,0.70,-2.51,-0.46,-0.38,-0.59,0.12,-1.04,0.54,0.94,0.14,0.11,34.48,0
-2.23,0.97,-2.11,-1.79,0.48,-1.90,-0.37,-1.75,-0.05,-1.97,-1.70,0.51,-1.00,1.79,-1.10,-0.11,0.02,-0.79,-0.87,0.38,-1.02,1.14,-0.30,0.09,-0.48,0.48,0.20,0.03,1.17,0
0.52,-1.05,0.60,1.75,-0.98,0.40,-0.08,0.18,1.32,-0.40,-1.17,-0.31,-2.15,0.06,-0.45,-0.56,0.53,-0.65,-0.36,0.31,0.07,-0.16,-0.29,0.06,0.46,-0.27,0.00,0.08,291.20,0
-0.31,1.36,0.28,1.07,0.10,-0.95,0.32,0.29,-1.27,-0.81,1.88,1.34,0.88,-0.83,0.27,0.33,0.93,0.98,0.30,-0.04,0.15,0.54,-0.11,0.42,-0.13,-0.32,-0.02,0.01,1.14,0
1.88,-0.01,-1.30,0.45,0.01,-0.96,0.23,-0.31,0.40,0.03,-0.56,1.07,0.93,0.07,-0.03,-0.18,-0.28,-1.07,0.10,-0.12,-0.25,-0.53,0.38,-0.04,-0.25,0.18,-0.06,-0.06,11.39,0
-0.63,0.71,1.67,-0.88,0.18,-1.11,0.55,-0.20,0.95,-1.34,0.33,-2.75,0.96,1.39,-0.18,0.40,0.18,-0.05,-0.55,-0.12,-0.17,-0.41,-0.15,0.34,-0.15,0.79,-0.05,0.07,2.86,0
1.42,-0.31,-0.26,-0.67,-0.28,-0.83,0.02,-0.40,-1.13,0.71,-0.98,0.32,1.76,-0.01,0.52,-1.04,-0.26,0.43,-0.20,-0.26,-0.88,-1.84,0.15,-0.50,0.14,0.71,-0.09,0.01,43.49,0
2.00,-1.29,-1.50,-1.13,-0.70,-1.07,-0.43,-0.23,-0.54,1.15,0.67,-0.42,-0.71,0.40,-0.20,1.16,-0.20,-0.47,0.92,0.11,0.43,1.13,-0.13,-0.26,0.13,0.06,-0.06,-0.06,108.31,0
1.84,-0.06,-1.66,0.16,0.19,-0.81,0.16,-0.24,0.30,0.14,0.76,1.15,0.23,0.58,0.10,0.01,-0.83,0.50,0.10,-0.23,0.29,1.00,-0.05,-0.30,0.26,-0.10,-0.02,-0.08,1.00,0
-1.32,0.06,2.30,1.22,-0.82,0.86,0.36,0.28,1.08,-0.20,-0.85,0.30,-0.16,-1.19,-0.75,-0.52,0.29,-0.58,-0.18,-0.22,-0.20,0.44,0.26,0.10,0.15,-0.31,-0.17,-0.53,162.00,0
-0.85,0.41,2.08,-1.01,0.21,-0.47,0.61,-0.13,0.62,-1.11,-1.30,-0.36,-0.64,-0.46,-0.03,0.18,-0.87,0.31,-0.67,-0.04,0.18,0.55,-0.45,0.06,0.82,-0.20,-0.11,-0.14,11.79,0
-1.85,1.70,0.40,0.47,-0.94,0.02,-0.26,0.89,-0.66,-1.00,-1.69,0.61,1.24,0.43,-0.09,-0.13,0.47,-0.23,1.44,-0.27,-0.05,-0.50,-0.27,-0.36,0.40,0.42,-0.73,-0.18,50.63,0
2.16,-0.04,-0.16,1.37,-0.19,0.25,-0.69,0.10,1.55,0.00,1.81,-1.20,2.15,1.45,-0.68,0.61,-0.32,0.87,-0.72,-0.22,0.13,0.85,0.15,0.64,-0.14,-0.71,0.02,-0.04,1.02,0
-1.15,0.57,1.14,-2.44,-0.41,-0.87,-0.02,0.51,0.69,-1.78,1.03,1.37,-0.13,0.48,0.44,-0.38,-0.14,0.40,1.67,-0.10,-0.10,-0.50,-0.07,0.08,0.36,-0.44,-0.15,-0.02,3.99,0
-0.79,0.27,2.76,1.25,-0.73,0.86,-0.17,0.55,0.51,-0.79,0.17,0.89,-0.49,-0.71,-2.01,-0.70,0.50,0.38,1.77,0.13,-0.06,0.18,-0.21,0.33,0.37,-0.19,0.12,0.10,38.86,0
2.28,-1.08,-0.40,-0.82,-1.47,-0.49,-0.89,0.00,-0.04,1.08,0.76,-0.07,-0.57,-0.16,-0.48,1.54,-0.04,-0.69,0.68,0.06,0.47,1.06,0.08,0.12,-0.19,-0.13,-0.01,-0.04,69.69,0
-1.30,1.61,1.90,0.94,0.02,0.19,0.41,0.32,-0.50,-0.28,-0.49,0.71,1.33,-0.17,0.90,-0.31,-0.10,-0.21,0.52,0.15,-0.19,-0.36,-0.06,1.12,0.33,-0.79,-0.05,-0.16,8.70,0
1.07,0.23,-0.10,1.11,0.09,-0.59,0.20,-0.18,0.10,0.02,-1.42,-0.24,-0.21,0.36,1.18,0.36,-0.66,0.19,-0.06,-0.10,-0.02,-0.06,-0.18,-0.54,0.68,-0.22,0.01,0.01,33.90,0
-1.51,-0.93,3.90,0.44,-0.07,-0.30,-0.22,0.31,1.40,-1.12,-1.94,-0.33,-2.30,-1.00,-2.48,-0.15,-0.13,-0.23,-1.12,0.04,-0.02,-0.04,-0.03,0.59,0.61,-0.49,-0.15,-0.13,73.14,0
-0.30,0.52,1.44,-2.10,-0.06,-1.40,0.60,-0.17,0.51,-1.91,0.44,1.24,1.10,-0.07,1.20,-0.67,-0.17,-0.71,-0.60,-0.09,0.11,0.37,-0.11,0.42,-0.06,-0.23,0.04,0.03,6.46,0
-0.80,0.31,2.81,3.00,0.90,0.57,0.99,-0.84,1.29,0.95,0.36,-3.40,1.36,0.30,-1.26,-0.94,0.73,-0.50,-0.37,-0.17,-0.40,0.35,-0.35,0.07,-0.47,-0.07,-0.89,-0.78,137.55,0
-0.50,1.78,-0.83,-0.34,0.70,-1.10,1.15,-0.07,-0.03,-0.54,-0.54,0.06,0.71,-1.10,0.73,-0.01,0.45,0.59,-0.17,0.17,0.24,1.28,-0.22,-0.18,-0.41,-0.13,0.34,0.05,13.40,0
-1.33,0.71,0.30,-0.27,1.91,-0.40,1.43,-0.12,-0.54,-0.69,-2.03,-1.23,-1.70,0.48,-0.78,-0.32,-0.54,-0.20,-0.53,-0.28,0.00,-0.09,-0.61,0.15,1.22,-0.51,-0.17,0.06,14.75,0
-3.00,-3.22,0.63,-0.35,-1.30,0.32,0.99,0.45,-1.81,-0.49,0.00,0.28,0.67,0.32,-0.29,-0.66,-0.43,2.20,-0.07,1.23,-0.06,-1.74,1.40,-0.61,0.26,0.14,-0.30,-0.25,610.79,0
-0.88,0.09,1.29,-1.57,0.45,-0.06,0.38,0.16,-1.73,0.09,1.47,0.39,-0.04,0.39,-0.03,-1.87,0.18,0.03,-1.18,-0.43,-0.56,-1.79,0.08,-0.28,-0.16,0.67,-0.19,0.11,20.15,0
-0.64,-0.61,-0.51,-2.56,1.56,4.23,0.46,0.99,-1.44,-0.20,-0.38,-0.99,-0.27,-0.18,-0.24,-0.10,0.68,-1.21,1.44,0.69,0.52,1.12,-0.14,0.76,1.03,0.48,-0.03,0.05,188.12,0
1.94,0.13,-1.98,0.30,0.59,-0.76,0.20,-0.23,0.42,-0.38,-0.79,0.11,0.12,-0.98,0.20,0.31,0.37,-0.25,0.10,-0.12,-0.32,-1.00,0.27,0.40,-0.19,0.18,-0.05,-0.03,1.37,0
-2.56,1.16,0.19,-0.82,1.11,0.69,1.01,-0.72,0.76,2.62,0.46,-0.04,0.03,-0.58,0.56,0.04,-1.25,0.16,0.34,-0.11,-0.08,0.42,-0.04,-1.18,-0.15,0.27,-1.04,0.17,32.70,0
-0.80,1.29,1.13,3.94,1.50,1.09,0.42,0.09,-1.97,2.17,0.79,0.41,1.02,0.16,-0.23,-0.32,-0.03,0.70,1.38,0.13,0.44,1.44,-0.09,0.83,0.08,0.68,-0.08,0.18,1.34,0
-0.88,-0.96,0.36,-1.68,0.85,-0.76,0.62,-0.73,-0.27,0.91,0.08,0.33,0.19,-0.54,-1.40,-1.69,-0.62,1.38,-0.18,-0.92,-0.33,0.63,0.39,-0.36,-0.75,-0.03,-0.44,-0.22,0.84,0
-1.59,1.16,0.62,0.04,-0.49,0.64,-0.46,1.48,-0.06,-0.38,0.67,0.65,-1.64,0.71,-0.81,-0.69,0.77,-0.68,-0.13,-0.21,0.15,0.51,-0.01,-0.27,-0.21,0.34,0.25,0.13,0.99,0
