Variable01,Variable02,Variable03,Variable04,Variable05,Variable06,Variable07,Variable08,Variable09,Variable10,Variable11,Variable12,Variable13,Variable14,Variable15,Variable16,Variable17,Variable18,Variable19,Variable20,Variable21,Variable22,Variable23,Variable24,Variable25,Variable26,Variable27,Variable28,Amount,Class
1.89,-1.10,-0.87,-0.60,-0.39,0.52,-0.77,0.05,-0.28,0.71,0.13,1.35,1.87,-0.29,-0.26,-1.01,-1.02,1.80,-0.20,-0.28,-0.57,-1.01,0.27,-0.21,-0.46,-0.64,0.03,-0.02,102.66,0
-1.36,0.42,1.98,-1.22,-1.14,0.12,-0.01,0.84,0.26,-1.16,0.28,0.60,-0.47,-0.04,-0.98,0.82,-0.54,0.45,-0.06,0.12,0.03,-0.04,0.06,0.03,-0.04,0.92,0.09,0.08,106.00,0
2.08,-1.76,-1.68,-1.58,-0.94,-0.54,-0.44,-0.25,-1.76,1.70,0.74,-0.09,0.25,0.10,-1.12,-0.80,0.43,-0.04,0.20,-0.01,-0.14,-0.39,0.11,0.66,-0.20,-0.28,-0.07,-0.03,211.46,0
1.88,-1.22,-2.01,-2.94,-0.54,-1.60,-0.01,-0.43,0.63,-0.24,0.67,0.75,-0.49,0.86,0.35,-2.41,-0.10,1.96,0.74,-0.49,-0.16,0.03,-0.07,-0.37,0.32,-0.64,0.01,-0.06,93.58,0
2.17,-0.80,-1.39,-0.44,-0.40,-0.68,-0.20,-0.29,-0.43,0.81,-1.16,0.04,0.27,0.09,-0.32,-1.72,0.02,0.53,-0.49,-0.45,-0.60,-1.25,0.37,0.61,-0.31,0.33,-0.07,-0.05,63.73,0
-0.94,-0.40,1.65,-1.40,0.04,-1.12,0.76,-0.21,1.30,-1.57,-0.04,0.59,-0.68,-0.17,0.11,-1.33,0.29,-0.93,-0.20,0.20,-0.03,-0.01,0.24,0.55,-0.08,-0.96,-0.04,-0.07,98.62,0
1.01,0.20,0.09,1.06,-0.02,-0.42,0.32,0.03,-0.40,0.22,1.42,0.39,-1.31,1.14,0.39,-0.14,-0.16,-0.59,-0.30,-0.17,-0.21,-0.83,0.10,0.15,0.29,-0.71,-0.01,0.01,51.66,0
1.16,0.13,0.51,0.44,-0.28,-0.19,-0.13,0.11,-0.14,0.07,1.50,0.96,-0.22,0.55,0.61,0.21,-0.40,-0.49,-0.17,-0.13,-0.19,-0.51,0.15,0.00,0.10,0.10,-0.02,0.00,0.80,0
0.94,-0.25,0.39,0.82,-0.52,-0.25,-0.04,0.02,0.62,-0.23,-0.62,0.17,-0.81,0.12,0.14,-0.54,0.39,-0.97,-0.15,-0.04,-0.16,-0.51,-0.02,0.09,0.35,0.28,-0.02,0.02,82.68,0
1.22,-1.21,-2.14,1.42,0.34,-0.32,0.88,-0.28,0.11,0.28,-0.09,0.22,-1.10,0.92,-0.92,-0.22,-0.60,0.29,0.21,0.47,0.25,0.07,-0.40,-0.76,0.33,-0.45,-0.10,-0.01,382.58,0
-4.17,0.65,-1.82,0.50,4.56,-4.12,-4.70,-3.83,2.01,1.60,0.30,0.06,-0.38,-2.95,1.18,0.50,1.82,0.85,-0.48,-1.22,-1.35,0.47,-6.47,0.19,-2.18,-0.51,-2.00,-0.22,1.00,0
-1.49,-2.84,0.29,1.95,3.51,-1.30,-1.67,0.13,0.86,0.27,-1.80,1.13,1.27,-0.67,-1.13,-0.96,-0.18,-0.54,1.19,0.95,-0.08,-0.57,1.04,-0.03,-2.15,-1.18,0.20,0.23,17.64,0
1.06,-0.76,0.39,-1.42,-0.72,0.07,-0.59,0.06,1.82,-1.22,-0.79,1.02,1.32,-0.41,1.49,-0.53,-0.16,-0.10,0.64,0.11,0.13,0.66,-0.25,-0.62,0.51,0.19,0.06,0.03,69.96,0
-1.13,1.43,-1.27,-1.45,1.18,-1.01,1.68,-0.22,0.20,0.94,0.74,0.16,-1.21,0.80,-0.61,-0.52,-0.62,0.18,0.05,0.34,0.14,0.88,-0.10,0.78,-0.12,0.06,0.90,0.50,14.41,0
2.06,-0.22,-1.34,0.23,0.04,-0.60,-0.02,-0.07,0.49,0.25,0.46,0.42,-1.12,0.63,-0.42,0.20,-0.61,-0.17,0.54,-0.26,-0.28,-0.74,0.29,-0.46,-0.30,0.19,-0.08,-0.08,1.96,0
2.17,-0.01,-1.44,0.17,0.48,-0.62,0.23,-0.33,0.49,0.04,-1.61,0.69,1.44,0.00,0.00,0.16,-0.68,-0.66,0.48,-0.12,-0.35,-0.78,0.18,-1.03,-0.11,0.26,-0.07,-0.06,3.60,0
-0.55,1.72,-0.66,0.87,1.18,-0.59,1.10,-0.04,0.21,-0.42,-0.20,-2.99,1.17,2.37,-0.25,-0.79,0.73,0.22,0.43,-0.27,0.15,0.51,-0.17,0.54,-0.11,-0.46,-0.24,0.13,20.89,0
-2.50,-2.75,-0.71,0.48,-0.84,0.69,3.21,-0.13,0.21,-2.23,-1.61,-0.45,-0.36,-1.60,-1.41,-0.07,0.80,0.83,-0.14,2.11,0.73,0.72,1.70,0.52,0.59,0.76,-0.23,0.25,809.60,0
-0.36,-2.71,1.35,2.73,-1.83,1.40,-0.34,0.28,0.93,-0.29,-1.19,1.13,1.03,-1.30,-1.76,-0.09,0.43,-0.75,-0.79,1.40,0.55,0.38,-0.72,0.27,-0.04,1.09,-0.09,0.15,737.99,0
1.07,-0.07,0.21,1.16,-0.02,0.36,0.01,0.18,0.11,0.03,0.74,0.89,-0.52,0.35,-0.68,-0.37,-0.08,-0.34,0.03,-0.08,-0.04,-0.07,-0.17,-0.32,0.61,-0.29,0.02,0.01,63.49,0
-1.35,1.52,-0.59,-0.76,-0.05,-0.98,0.41,0.57,-0.06,0.43,0.86,1.80,0.88,0.33,-1.24,0.13,-0.50,-0.40,0.08,0.22,-0.28,-0.46,0.08,0.10,-0.35,0.09,0.18,-0.12,10.25,0
1.09,1.18,-1.67,1.65,0.95,-1.12,0.61,-0.09,-0.71,-1.37,3.09,0.26,-0.50,-3.00,0.58,0.82,2.94,1.32,-0.94,-0.06,-0.11,-0.29,-0.17,-0.10,0.72,-0.29,0.05,0.08,8.72,0
1.05,-0.67,0.14,0.75,-0.66,0.09,-0.22,-0.02,-0.69,0.64,-1.17,-0.06,-0.09,-0.01,-0.18,-2.11,0.39,0.53,-1.03,-0.33,-0.46,-0.74,-0.13,-0.34,0.54,-0.29,0.04,0.03,138.99,0
-0.71,0.45,0.03,-0.56,1.84,4.54,-0.47,1.11,0.49,0.02,-0.40,-0.03,-0.05,-0.25,0.90,0.30,-0.78,0.38,-0.51,-0.22,0.24,0.68,0.09,0.61,-1.12,-0.89,-0.19,0.25,49.15,0
-0.77,1.50,-0.60,-0.86,1.04,-0.65,0.97,-0.10,0.64,0.82,1.15,0.34,-0.61,-1.27,-0.67,0.32,0.11,0.13,-0.16,0.50,-0.43,-0.83,0.07,0.61,-0.32,0.08,0.52,0.15,8.27,0
1.22,-0.09,0.50,-0.24,-0.55,-0.51,-0.24,-0.03,0.07,-0.07,1.34,1.13,0.61,0.21,0.51,0.72,-0.80,0.12,0.47,0.03,-0.10,-0.26,0.02,0.09,0.15,0.83,-0.07,0.00,22.00,0
-0.72,0.48,0.18,-0.08,0.85,-1.15,0.81,-0.15,0.26,-0.98,-1.17,-0.82,-1.53,-1.14,-0.83,-0.03,0.79,0.32,-0.21,-0.16,0.13,0.41,-0.22,-0.02,-0.20,0.40,-0.04,0.25,24.91,0
2.00,-0.67,-0.35,0.28,-0.77,0.15,-1.06,0.35,1.33,0.24,0.39,-0.13,-2.28,0.38,-0.02,0.54,-0.58,0.63,-0.04,-0.32,0.18,0.57,0.21,0.77,-0.38,0.53,-0.04,-0.05,12.65,0
-0.96,0.31,-1.55,-4.54,2.55,2.99,0.71,1.28,0.36,-2.59,-0.15,0.50,-0.46,0.84,0.37,-0.28,-0.59,-0.57,-0.51,-0.12,-0.09,-0.65,0.08,0.61,0.20,-0.67,-0.07,0.06,96.09,0
-0.13,-0.01,1.79,-0.27,-0.53,0.94,-0.43,0.37,-1.50,0.61,1.27,0.80,0.63,-0.11,0.18,-3.03,1.23,0.37,1.08,-0.24,-0.45,-0.59,0.18,-0.25,-1.13,0.96,0.16,0.13,10.18,0
-0.91,0.59,-0.47,-0.90,1.75,4.18,-0.06,1.30,-0.16,-0.68,-0.99,0.08,-0.20,0.17,-0.53,-0.03,-0.24,0.15,0.65,0.25,0.02,-0.04,0.05,1.12,0.08,0.40,0.18,0.14,107.91,0
-0.41,0.37,0.55,-2.86,1.30,0.08,1.08,-0.25,-1.90,0.05,0.23,-0.64,0.38,-0.14,-0.84,1.47,-0.80,-0.94,0.70,0.18,-0.02,-0.13,-0.56,-0.37,0.82,-0.31,-0.19,-0.22,2.53,0
-1.72,-2.95,-0.14,-1.28,-3.83,1.38,3.35,-0.29,-3.40,0.12,1.14,-0.51,0.26,-0.10,-1.05,-0.99,0.84,0.26,-0.19,1.98,0.56,0.30,2.51,0.11,0.53,-0.13,-0.28,0.10,1002.36,0
2.01,-0.18,-1.03,0.54,-0.22,-0.95,-0.10,-0.35,2.41,-0.57,-0.26,-2.29,0.96,1.53,-1.05,-0.63,0.74,-0.08,0.10,-0.30,-0.07,0.35,0.05,-0.04,0.15,0.16,-0.05,-0.07,6.15,0
-0.66,1.02,1.04,-0.38,-0.15,0.03,-0.09,0.50,0.30,-0.99,-1.14,0.60,1.03,-0.15,0.29,-0.04,-0.35,0.42,0.17,0.03,0.26,1.00,-0.20,0.80,-0.12,-0.18,0.34,0.19,0.01,0
1.15,-0.48,0.83,-0.83,-1.09,-0.34,-0.81,0.19,1.66,-0.84,0.79,0.75,-1.06,0.22,0.75,-0.10,-0.41,0.98,0.95,-0.16,0.01,0.19,-0.07,0.00,0.49,-0.74,0.08,0.02,1.10,0
-0.91,0.22,0.75,0.79,0.46,1.45,1.11,0.35,-0.76,-0.42,0.64,0.73,1.10,0.25,2.00,-1.48,0.85,-1.70,-1.34,0.60,0.38,0.96,0.49,-1.03,-0.40,-0.20,0.41,0.25,227.05,0
-4.01,-4.73,0.68,-1.74,-0.51,-1.30,-0.42,0.55,-1.83,-0.23,-1.62,-1.42,-0.76,0.00,-0.98,-0.18,0.77,-0.03,-0.61,1.62,0.05,-1.54,1.11,-0.17,0.43,-0.58,-0.20,-0.47,487.16,0
-1.31,0.69,1.28,-0.72,0.28,-0.13,1.10,0.05,-0.33,-0.25,0.51,0.49,0.09,0.06,-0.66,0.31,-0.75,0.31,0.28,0.27,-0.08,-0.05,-0.39,-0.29,0.68,0.38,0.41,0.17,107.70,0
-1.75,1.51,1.46,-1.86,0.00,-0.43,0.82,-0.30,1.36,1.81,1.84,-0.03,-1.29,-0.66,0.36,0.11,-0.80,-0.43,-0.99,0.88,-0.36,-0.07,-0.06,0.21,-0.30,0.68,0.44,-0.14,0.39,0
1.19,-0.07,0.29,-0.12,-0.54,-0.66,-0.14,-0.06,0.39,-0.20,-0.12,-0.09,-0.71,0.38,1.34,0.00,0.02,-0.82,-0.27,-0.14,-0.09,-0.23,0.08,0.14,0.13,1.06,-0.08,0.00,4.68,0
-0.09,-0.12,0.71,-1.92,-1.62,-0.94,-0.60,0.05,-2.15,1.64,0.14,-0.39,1.10,-0.54,0.39,-0.82,0.98,-0.63,-0.78,-0.31,-0.09,0.28,0.24,0.55,-0.61,-0.42,-0.27,-0.27,19.40,0
-1.56,0.14,0.92,0.07,0.37,-0.98,0.16,0.33,-0.28,-1.01,-1.11,0.10,-0.36,0.50,0.21,-1.00,0.54,-0.35,1.26,0.22,-0.02,-0.37,-0.29,0.02,0.58,0.20,-0.09,-0.13,34.90,0
-1.69,1.29,1.60,1.62,-0.97,0.79,-0.28,0.80,1.19,0.28,-1.45,0.44,-0.87,-0.70,-1.40,-1.61,1.40,-0.93,1.25,0.15,-0.46,-0.44,0.11,0.07,-0.26,-0.50,0.05,-0.35,27.35,0
1.00,-0.64,0.89,-0.73,-1.32,-0.56,-0.63,0.12,1.57,-0.91,1.38,1.29,-0.63,0.15,0.61,-0.27,-0.30,0.77,0.79,0.01,0.12,0.31,-0.10,0.58,0.44,-0.72,0.08,0.04,73.94,0
-3.00,2.55,-0.34,-2.08,0.06,0.47,-0.11,0.97,1.55,2.05,-0.23,-0.12,-0.72,-0.06,0.34,0.99,-1.03,0.30,-0.37,1.17,-0.33,-0.52,-0.09,-1.67,0.24,0.84,0.98,0.69,0.79,0
-1.00,0.46,0.99,-2.18,1.23,-0.29,0.93,0.05,0.95,-1.57,0.86,-2.54,-0.12,1.91,-2.34,0.56,-0.17,0.12,-0.48,-0.13,-0.38,-1.35,-0.23,0.22,0.54,0.94,-0.21,0.01,39.20,0
1.40,-1.03,0.17,-1.55,-1.12,-0.29,-1.15,-0.04,-2.19,1.51,0.52,-0.64,0.22,-0.08,-0.05,0.01,0.03,0.65,0.29,-0.30,-0.20,-0.24,-0.06,-0.37,0.47,-0.18,0.02,0.00,15.45,0
1.11,-0.82,1.68,0.58,-1.63,0.41,-1.38,0.30,-0.05,0.54,-0.79,0.15,0.53,-0.59,1.01,-1.33,0.02,1.45,-1.68,-0.47,-0.10,0.32,-0.01,0.06,0.21,-0.19,0.11,0.05,35.33,0
2.49,-1.13,-1.73,-2.05,-0.39,-0.41,-0.64,-0.23,-2.20,1.93,0.51,-0.22,0.70,0.10,-0.56,-0.28,-0.02,0.24,0.42,-0.34,-0.27,-0.49,0.23,0.17,-0.12,-0.36,-0.03,-0.06,23.50,0
-0.80,0.35,1.42,1.34,0.58,0.10,0.38,0.18,-0.29,-0.30,-1.20,-0.55,-1.33,0.29,0.41,-0.97,0.58,-0.37,0.98,0.15,0.01,0.02,-0.11,-0.30,0.17,-0.18,0.12,0.12,47.90,0
1.87,-0.25,-1.40,1.37,0.11,-1.01,0.67,-0.37,0.29,0.18,-1.00,0.23,-0.43,0.61,-0.11,-0.44,-0.28,-0.62,-0.35,-0.03,0.00,-0.16,0.03,-0.05,0.14,-0.71,-0.03,-0.03,148.54,0
0.99,-0.10,0.39,1.36,-0.29,0.06,0.08,0.10,0.02,0.01,1.24,1.20,-0.32,0.28,-0.72,-0.55,0.10,-0.49,-0.17,-0.02,0.01,0.04,-0.11,0.26,0.63,-0.35,0.02,0.02,81.31,0
0.88,-0.86,1.10,0.75,-1.57,-0.14,-0.67,-0.07,-0.61,0.66,-0.70,0.92,1.69,-0.63,0.25,-1.15,-0.25,1.34,-1.11,-0.12,-0.30,-0.51,-0.07,0.40,0.25,-0.42,0.07,0.07,170.69,0
-0.41,-0.05,0.77,-2.72,-0.49,-0.60,0.03,-0.25,-2.00,1.21,-0.68,-0.43,1.55,-0.87,-0.65,-0.81,0.54,-0.34,-0.43,-0.19,-0.07,0.33,-0.06,1.18,-0.22,-0.24,0.14,0.21,20.20,0
0.08,-0.10,1.13,-1.11,-1.03,-0.70,-0.13,-0.15,-3.42,1.67,1.31,-1.03,-0.64,0.42,0.36,-1.26,1.08,0.63,1.79,-0.13,-0.02,0.31,-0.20,0.57,-0.12,0.10,0.13,0.11,9.50,0
1.19,0.67,-0.38,1.30,0.21,-0.79,0.19,-0.06,0.02,-0.70,0.22,-0.46,-0.90,-1.19,1.55,0.32,1.09,0.26,-0.93,-0.18,-0.05,-0.07,-0.08,-0.09,0.62,-0.32,0.05,0.06,0.90,0
1.80,-0.80,-1.47,-0.48,1.44,3.74,-1.31,1.05,1.25,0.02,-0.13,0.41,0.08,-0.09,1.13,0.58,-0.78,-0.06,-0.56,-0.03,0.04,0.09,0.30,0.64,-0.56,0.19,0.02,-0.04,49.77,0
-0.69,0.34,0.24,-1.86,1.26,-1.02,1.30,-0.32,-1.91,-0.23,-1.40,-0.27,0.76,0.13,-1.04,-1.75,-0.19,0.74,-1.11,-0.34,-0.25,-0.35,-0.51,0.48,1.22,0.84,-0.10,0.03,16.53,0
-0.52,-0.92,1.31,-2.25,-0.81,0.40,0.98,-0.11,1.78,-1.93,-0.91,1.00,0.85,-0.88,-0.18,-0.83,-0.09,-0.51,0.27,0.59,0.01,0.12,0.52,-0.42,-0.15,-0.29,-0.15,-0.16,271.24,0
-0.39,-0.08,0.65,-2.03,-0.15,0.34,0.38,0.13,0.93,-0.86,-0.57,-0.07,-0.79,-0.04,-0.27,0.61,-1.11,1.10,0.74,-0.11,0.27,0.87,-0.21,-0.95,-0.59,0.71,0.04,0.17,92.82,0
-0.65,1.19,-0.36,-0.39,0.30,-0.90,0.48,0.51,-0.13,-1.31,0.60,-0.15,-1.83,-0.95,-1.54,0.39,1.34,0.89,-0.05,-0.19,0.11,0.48,-0.24,-0.09,-0.27,0.57,0.25,0.19,1.95,0
1.31,-1.79,-2.74,-0.20,-0.35,-0.72,0.67,-0.54,-1.12,0.86,0.17,0.66,0.66,0.55,-1.06,-1.85,-0.28,1.66,-0.48,0.36,0.44,0.83,-0.71,-0.33,0.42,1.27,-0.16,-0.02,463.92,0
-0.37,0.40,0.30,-1.80,-0.53,-0.41,-1.01,-3.05,-0.49,-1.13,-0.68,-1.70,-1.83,-1.66,-0.23,1.97,1.36,-0.28,-0.82,0.59,-1.16,1.13,-0.22,-0.17,-0.07,-0.21,-0.17,-0.19,57.82,0
0.76,-0.87,1.35,1.07,-0.97,1.66,-1.13,0.62,1.36,-0.47,0.76,1.37,-0.78,-0.68,-1.90,-0.84,0.87,-1.05,0.08,-0.01,-0.05,0.10,-0.05,-0.21,0.13,0.53,0.05,0.02,114.94,0
-0.84,0.49,2.18,0.02,0.73,1.33,0.58,0.30,-0.28,-0.80,0.59,0.64,0.12,-0.31,0.73,-1.77,1.38,-2.62,-1.22,0.01,-0.06,0.22,-0.08,-0.63,0.01,0.41,-0.09,-0.17,34.85,0
0.38,0.25,-0.04,-0.68,0.84,0.07,0.66,-0.22,-1.67,0.87,0.05,-0.11,0.17,0.17,-0.61,-1.17,-0.96,2.31,-1.16,-0.52,-0.07,0.40,-0.25,0.16,0.03,-0.54,-0.10,-0.22,14.10,0
0.99,0.43,0.52,2.70,-0.18,-0.53,0.25,-0.19,-0.88,0.66,-0.50,0.17,0.68,0.18,0.41,0.69,-0.69,-0.24,-1.07,0.03,0.10,0.15,-0.13,0.41,0.51,0.05,-0.02,0.03,78.32,0
-1.27,-0.28,-2.93,-3.27,3.93,2.08,0.28,1.14,-0.05,-1.29,-0.53,0.30,-0.54,0.98,-0.79,-0.49,-0.41,-0.82,-0.87,0.04,0.31,0.57,-0.17,0.81,-0.28,0.55,0.27,0.03,0.95,0
-0.50,0.48,1.03,-1.20,-1.52,-0.15,1.23,-0.37,-1.60,0.33,0.40,-0.45,0.57,-0.28,0.68,0.60,0.62,-2.53,0.43,-0.14,-0.20,-0.56,0.15,0.35,-0.36,-0.68,-0.22,-0.07,207.39,0
-5.44,2.28,-3.02,-1.02,-3.35,-1.68,-2.37,3.34,0.25,-1.54,-1.15,2.16,1.43,2.25,1.67,0.22,1.46,0.16,1.35,-0.73,0.32,0.12,0.17,0.48,-0.06,-0.08,-1.70,-0.68,13.62,0
-1.41,0.47,0.90,-2.01,-0.93,0.20,-0.86,1.04,-1.50,-0.05,-0.27,0.55,1.27,0.17,-0.06,0.02,-0.90,2.52,-0.79,-0.39,-0.09,-0.06,-0.20,-0.84,-0.05,1.01,-0.07,-0.03,29.96,0
2.25,0.02,-0.94,0.39,-0.04,-1.20,0.28,-0.42,0.37,0.03,-0.47,1.05,1.24,0.02,-0.11,-0.17,-0.33,-1.13,0.14,-0.13,-0.25,-0.61,0.31,0.08,-0.28,0.17,-0.06,-0.05,9.29,0
-0.48,0.50,1.73,-0.14,0.09,-0.83,0.29,-0.02,-0.74,-0.18,1.54,0.75,0.31,0.37,0.45,0.03,-0.28,0.16,1.14,0.17,0.09,0.20,-0.01,0.64,-0.58,0.92,0.05,0.13,0.98,0
0.09,1.30,-0.82,1.61,0.74,-0.63,0.46,-0.07,-0.34,-0.42,1.38,0.00,-0.59,-2.31,0.11,-0.65,2.75,1.66,2.52,0.31,0.17,1.04,-0.15,-0.10,-1.05,1.07,0.41,0.36,12.43,0
-1.50,-0.11,0.28,-1.44,0.14,-0.60,0.93,0.45,0.04,-1.73,-0.32,0.07,-1.89,0.78,-1.67,0.41,-0.74,0.28,-0.55,0.01,0.08,-0.39,0.12,-0.35,0.29,-0.29,-0.13,-0.03,155.74,0
-0.24,-0.67,2.29,-2.49,-0.38,0.90,-0.66,0.08,-1.49,0.67,-1.78,-1.01,1.22,-1.49,-0.49,-0.36,0.11,0.04,-0.37,-0.21,-0.27,-0.04,-0.33,-1.29,0.06,-0.25,-0.01,-0.14,4.70,0
-0.60,0.45,1.50,0.89,1.00,0.10,0.54,-0.01,-0.71,0.18,1.18,0.20,-0.41,0.49,0.94,-0.50,-0.19,0.35,0.85,0.25,0.16,0.56,-0.18,-0.31,0.00,-0.21,-0.04,-0.10,24.71,0
0.37,0.90,1.23,4.56,0.89,1.65,0.16,0.02,-1.19,1.60,-1.67,-0.74,0.93,-0.44,0.81,0.26,-0.53,0.80,1.00,0.40,0.38,1.27,0.09,0.06,-1.41,0.29,0.18,0.09,44.41,0
2.04,-0.70,0.26,0.53,-1.32,-0.25,-1.04,0.17,2.89,-0.18,1.53,-2.50,0.08,1.60,-0.47,0.89,-0.02,0.96,-0.24,-0.28,-0.06,0.05,0.31,0.00,-0.72,0.46,-0.06,-0.05,40.95,0
-0.32,0.85,0.88,-0.14,0.39,-0.43,0.73,0.05,-0.16,-0.54,-1.36,-0.98,-0.90,-0.24,1.20,0.74,-0.31,0.34,0.28,0.12,-0.35,-0.99,-0.07,-0.65,-0.05,0.13,0.24,0.09,24.24,0
1.10,-0.67,0.74,-0.93,-1.19,-0.27,-0.73,0.14,1.72,-0.83,0.92,1.16,-0.47,0.10,0.60,-0.15,-0.47,1.05,0.94,-0.03,0.19,0.60,-0.22,0.04,0.64,-0.48,0.09,0.02,49.24,0
-0.96,0.96,1.67,1.39,-0.92,0.53,-0.23,0.64,-0.02,-0.34,-0.76,0.14,0.05,0.01,1.14,-0.33,0.40,0.09,0.29,-0.18,0.35,0.91,-0.10,0.10,-0.36,-0.15,-0.13,0.07,61.38,0
2.37,-1.52,-2.57,-2.57,1.13,3.09,-1.57,0.74,-1.39,1.63,-0.22,-0.66,0.29,-0.20,0.20,-0.78,0.44,-0.31,-0.24,-0.32,-0.16,-0.07,0.25,0.65,-0.14,-0.15,0.03,-0.05,18.62,0
-1.02,1.09,0.83,0.78,-1.26,0.03,0.81,-0.40,-0.06,-0.66,-1.12,0.08,-0.66,0.26,-0.45,-0.21,0.21,-0.22,0.12,-0.26,0.63,-0.50,0.14,0.35,0.27,-0.49,0.29,-0.01,177.38,0
-6.95,-7.11,-0.25,2.04,3.68,-1.74,-1.87,-2.87,0.36,0.27,1.73,0.37,-0.93,0.35,1.36,0.52,-0.31,-0.38,0.28,-4.21,-2.88,2.15,6.23,-0.27,1.16,0.64,1.48,-1.83,26.04,0
2.35,-1.95,-0.18,-1.60,-1.78,0.08,-1.94,0.17,-0.34,1.60,-1.59,-1.48,-0.76,-0.67,0.29,0.09,0.26,0.56,-0.19,-0.41,-0.18,-0.10,0.31,0.43,-0.49,-0.28,0.04,-0.03,47.38,0
1.81,-0.28,-1.30,0.05,0.61,0.91,-0.23,0.33,0.35,0.12,1.26,1.05,-0.58,0.70,0.25,-0.78,0.27,-1.49,-0.53,-0.35,-0.16,-0.36,0.38,-1.50,-0.57,0.28,-0.03,-0.09,1.94,0
-1.26,0.49,1.35,-0.65,0.42,1.72,-0.37,1.28,-0.17,-0.98,1.22,1.13,-0.24,0.32,0.24,-0.60,0.53,-1.27,-1.82,-0.13,0.36,1.04,-0.07,-1.18,-0.30,0.60,0.28,0.07,26.93,0
0.32,-2.28,-0.43,0.02,-1.74,-1.08,0.30,-0.33,-0.51,0.40,-0.49,-1.52,-1.86,0.35,0.03,0.65,0.91,-1.48,0.54,1.05,0.47,0.10,-0.64,0.76,0.46,-0.13,-0.12,0.11,595.61,0
-0.64,1.02,-0.97,-0.01,1.81,0.21,1.16,0.41,-0.99,-0.62,-0.56,0.59,0.11,0.91,-1.78,-0.13,-0.77,0.42,0.34,-0.10,0.21,0.44,-0.27,-0.38,0.20,-0.56,0.03,0.06,39.01,0
-0.75,0.58,1.29,-0.63,-0.22,-0.44,0.28,0.11,0.69,-0.27,-1.37,-0.22,-0.27,-0.40,0.00,0.29,-0.55,0.30,-0.38,0.15,0.20,1.00,-0.21,-0.05,-0.26,0.67,0.46,0.30,29.39,0
-0.25,1.09,1.45,0.24,0.23,-0.92,0.79,-0.35,1.11,-0.64,0.75,-2.50,1.59,0.87,0.20,0.25,0.71,0.13,-0.28,0.13,-0.49,-0.95,-0.05,0.27,-0.24,0.01,0.06,-0.13,2.08,0
